Kod;nazwa;wykształcenie;Wartość i precyzja;Rok;wartosc;Jednostka miary;Atrybut
2469000;powiat Katowice;ogółem;wartość liczbowa;2023;117;tys. osób;
2469000;powiat Katowice;wyższe;wartość liczbowa;2023;22;tys. osób;
2469000;powiat Katowice;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;28;tys. osób;
2469000;powiat Katowice;średnie ogólnokształcące;wartość liczbowa;2023;17;tys. osób;
2469000;powiat Katowice;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;28;tys. osób;
2469000;powiat Katowice;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;22;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;ogółem;wartość liczbowa;2023;356;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;wyższe;wartość liczbowa;2023;30;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;81;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;średnie ogólnokształcące;wartość liczbowa;2023;34;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;88;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;123;tys. osób;
2661000;powiat Kielce;ogółem;wartość liczbowa;2023;67;tys. osób;
2661000;powiat Kielce;wyższe;wartość liczbowa;2023;14;tys. osób;
2661000;powiat Kielce;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;21;tys. osób;
2661000;powiat Kielce;średnie ogólnokształcące;wartość liczbowa;2023;10;tys. osób;
2661000;powiat Kielce;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;11;tys. osób;
2661000;powiat Kielce;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;11;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;ogółem;wartość liczbowa;2023;431;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;wyższe;wartość liczbowa;2023;37;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;83;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;średnie ogólnokształcące;wartość liczbowa;2023;47;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;90;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;174;tys. osób;
2862000;powiat Olsztyn;ogółem;wartość liczbowa;2023;53;tys. osób;
2862000;powiat Olsztyn;wyższe;wartość liczbowa;2023;12;tys. osób;
2862000;powiat Olsztyn;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;14;tys. osób;
2862000;powiat Olsztyn;średnie ogólnokształcące;wartość liczbowa;2023;10;tys. osób;
2862000;powiat Olsztyn;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;0;tys. osób;x
2862000;powiat Olsztyn;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;10;tys. osób;
3000000;WIELKOPOLSKIE;ogółem;wartość liczbowa;2023;957;tys. osób;
3000000;WIELKOPOLSKIE;wyższe;wartość liczbowa;2023;89;tys. osób;
3000000;WIELKOPOLSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;204;tys. osób;
3000000;WIELKOPOLSKIE;średnie ogólnokształcące;wartość liczbowa;2023;93;tys. osób;
3000000;WIELKOPOLSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;293;tys. osób;
3000000;WIELKOPOLSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;278;tys. osób;
3064000;powiat Poznań;ogółem;wartość liczbowa;2023;155;tys. osób;
3064000;powiat Poznań;wyższe;wartość liczbowa;2023;41;tys. osób;
3064000;powiat Poznań;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;45;tys. osób;
3064000;powiat Poznań;średnie ogólnokształcące;wartość liczbowa;2023;26;tys. osób;
3064000;powiat Poznań;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;22;tys. osób;
3064000;powiat Poznań;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;22;tys. osób;
3200000;ZACHODNIOPOMORSKIE;ogółem;wartość liczbowa;2023;427;tys. osób;
3200000;ZACHODNIOPOMORSKIE;wyższe;wartość liczbowa;2023;46;tys. osób;
3200000;ZACHODNIOPOMORSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;81;tys. osób;
3200000;ZACHODNIOPOMORSKIE;średnie ogólnokształcące;wartość liczbowa;2023;50;tys. osób;
3200000;ZACHODNIOPOMORSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;109;tys. osób;
3200000;ZACHODNIOPOMORSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;141;tys. osób;
3262000;powiat Szczecin;ogółem;wartość liczbowa;2023;141;tys. osób;
3262000;powiat Szczecin;wyższe;wartość liczbowa;2023;28;tys. osób;
3262000;powiat Szczecin;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;34;tys. osób;
3262000;powiat Szczecin;średnie ogólnokształcące;wartość liczbowa;2023;24;tys. osób;
3262000;powiat Szczecin;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;19;tys. osób;
3262000;powiat Szczecin;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;36;tys. osób;
